,Store Number,City,Mean Retail Price per Liter,Total Sales 2015,Mean Sales 2015,Zip Code,County,Total Gross Profit 2015,Mean Gross Profit 2015,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date,Total Sales Q1 2015,Total Sales Q1 2016,Mean Sales Q1 2015,Mean Sales Q1 2016,Total Gross Profit Q1 2015,Mean Gross Profit Q1 2015,Mean Gross Profit Q1 2016,totalvolQ12015,totalvolQ12016,meanvolQ12015,meanvolQ12016,Category Most Sold,numberdaysopen,Dominant Vendor,sales2015zip,profit2015zip,sales2015county,profit2015county,sales2015city,profit2015city
655,4733,URBANDALE,15.973271721,70577.76,154.775789474,50322,Polk,2270.76,4.97973684211,4802.7,10.5322368421,2015-01-06,2016-03-29,7976.08,10863.9,126.604444444,119.383516484,469.08,4.35952380952,5.15472527473,619.2,792.75,9.82857142857,8.71153846154,VODKA 80 PROOF,448,260,3028823.28,106397.07,56674297.4,1759117.6,2605830.31,82359.67
656,4734,URBANDALE,14.4440919158,75632.7,146.575,50322,Polk,2405.79,4.66238372093,5814.75,11.2688953488,2015-01-08,2016-03-31,6154.26,12586.86,166.331351351,146.358837209,376.1,5.22540540541,4.37325581395,339.0,994.2,9.16216216216,11.5604651163,VODKA 80 PROOF,448,434,3028823.28,106397.07,56674297.4,1759117.6,2605830.31,82359.67
657,4736,MARION,17.0345083488,30102.1,130.312121212,52302,Linn,1148.49,4.97181818182,2139.0,9.25974025974,2015-01-05,2016-03-21,10273.32,40963.37,138.828648649,151.156346863,1394.69,4.09162162162,5.14645756458,787.5,3047.5,10.6418918919,11.2453874539,VODKA 80 PROOF,441,260,1949157.26,83511.0,20374018.21,739839.77,2160219.49,91120.1
658,4740,COUNCIL BLUFFS,16.3232969697,42117.3,153.153818182,51501,Pottawattamie,1309.32,4.76116363636,2685.0,9.76363636364,2015-01-05,2016-03-28,9674.64,22424.52,169.730526316,151.517027027,933.21,4.8450877193,6.30547297297,681.0,1260.1,11.9473684211,8.51418918919,VODKA 80 PROOF,448,260,4807784.65,145405.53,8706224.87,304204.12,8070650.09,268267.66
659,4743,COUNCIL BLUFFS,13.1865802432,239495.25,122.755125577,51503,Pottawattamie,8876.3,4.54961558175,22377.37,11.4696924654,2015-01-06,2016-03-29,5019.81,17037.82,132.100263158,89.2032460733,812.39,4.98236842105,4.25335078534,374.4,1112.44,9.85263157895,5.82429319372,VODKA 80 PROOF,448,434,3262865.44,122862.13,8706224.87,304204.12,8070650.09,268267.66
660,4744,CEDAR RAPIDS,17.1688168498,62928.84,121.017,52402,Linn,2505.91,4.81905769231,4535.0,8.72115384615,2015-01-06,2016-03-29,7010.47,8417.28,116.841166667,75.1542857143,455.47,4.44366666667,4.06669642857,474.53,643.8,7.90883333333,5.74821428571,VODKA 80 PROOF,448,260,8042587.07,221082.75,20374018.21,739839.77,17588744.39,615993.64
661,4745,CEDAR RAPIDS,15.063189463,35374.08,150.528,52404,Linn,1151.85,4.9014893617,2589.0,11.0170212766,2015-01-07,2016-03-30,3697.08,6888.53,142.195384615,84.0064634146,280.21,4.64615384615,3.41719512195,243.0,565.2,9.34615384615,6.89268292683,VODKA 80 PROOF,448,260,3141279.24,123987.84,20374018.21,739839.77,17588744.39,615993.64
662,4747,DAVENPORT,17.0780866668,62800.43,165.264289474,52803,Scott,1947.36,5.12463157895,4148.92,10.9182105263,2015-01-05,2016-03-28,54771.53,33149.61,168.527784615,37.1216237402,3408.32,3.62901538462,3.81670772676,2942.1,2316.4,9.05261538462,2.59395296753,VODKA 80 PROOF,448,260,686195.11,14479.97,18119679.48,576046.2,12617653.19,380143.64
663,4749,DAVENPORT,19.8353156587,30850.57,140.229863636,52804,Scott,1011.03,4.59559090909,1839.58,8.36172727273,2015-01-05,2016-03-28,5654.34,5990.6,182.398064516,122.257142857,158.47,5.8435483871,3.23408163265,292.5,446.1,9.43548387097,9.10408163265,VODKA 80 PROOF,448,260,3066618.35,84306.76,18119679.48,576046.2,12617653.19,380143.64
664,4752,BURLINGTON,22.1818602713,222194.1,174.818332022,52655,Des Moines,4682.29,3.68394177813,11566.47,9.10029110936,2015-01-05,2016-03-28,22709.22,4187.55,30.27896,80.5298076923,163.63,4.275,3.14673076923,1718.88,408.6,2.29184,7.85769230769,IMPORTED GRAPE BRANDIES,448,260,863153.53,25430.82,3635473.79,146763.34,2902365.01,114999.52
665,4756,MARSHALLTOWN,17.0179396259,17203.99,122.885642857,50158,Marshall,720.53,5.14664285714,1234.05,8.81464285714,2015-01-06,2016-03-29,25498.43,5317.86,70.2436088154,61.1248275862,428.69,4.8717630854,4.92747126437,2075.93,453.56,5.718815427,5.21333333333,VODKA 80 PROOF,448,260,2701240.14,97054.63,2766616.25,106604.1,2701240.14,97054.63
666,4757,BONDURANT,16.6198617323,102966.86,32.2577882206,50035,Polk,13181.12,4.1294235589,7796.27,2.44244047619,2015-01-05,2016-03-28,37272.07,20875.6,94.8398727735,85.2065306122,1049.18,4.4913740458,4.28236734694,2341.35,1772.69,5.95763358779,7.23546938776,VODKA 80 PROOF,448,260,102966.86,13181.12,56674297.4,1759117.6,102966.86,13181.12
667,4762,FORT ATKINSON,13.2045127609,111496.73,77.3745523942,52144,Winneshiek,6909.44,4.79489243581,9102.96,6.31711311589,2015-01-07,2016-03-30,6362.02,11603.84,129.837142857,66.3076571429,588.58,4.18346938776,3.36331428571,512.75,689.51,10.4642857143,3.94005714286,CANADIAN WHISKIES,448,434,111496.73,6909.44,1283171.29,54069.75,111496.73,6909.44
668,4764,FORT DODGE,20.5956027807,236309.92,98.6268447412,50501,Webster,10705.62,4.46812186978,14150.41,5.90584724541,2015-01-06,2016-03-29,20206.14,12724.96,159.103464567,96.4012121212,369.11,5.25700787402,2.79628787879,1735.0,883.57,13.6614173228,6.69371212121,VODKA 80 PROOF,448,260,3387512.63,108707.05,2995026.97,102943.32,3387512.63,108707.05
669,4765,DUBUQUE,21.3573075447,25296.01,77.5951226994,52001,Dubuque,1163.32,3.56846625767,1468.37,4.50420245399,2015-01-07,2016-03-29,4510.62,2924.59,140.956875,31.4472043011,362.49,4.8871875,3.89774193548,328.0,173.2,10.25,1.8623655914,VODKA 80 PROOF,447,260,4985592.6,183372.9,7827313.86,280946.98,7194743.68,256985.43
670,4768,URBANDALE,15.1083513383,36315.79,92.6423214286,50322,Polk,1736.25,4.42920918367,2778.41,7.08778061224,2015-01-08,2016-03-31,10433.27,6907.89,114.651318681,117.082881356,213.69,3.3721978022,3.62186440678,878.85,480.45,9.65769230769,8.14322033898,VODKA 80 PROOF,448,260,3028823.28,106397.07,56674297.4,1759117.6,2605830.31,82359.67
671,4769,ELMA,13.0408488613,78404.34,170.444217391,50628,Howard,2467.27,5.36363043478,6671.2,14.5026086957,2015-01-06,2016-03-29,3224.74,28811.17,89.5761111111,68.7617422434,1960.19,2.95583333333,4.67825775656,313.4,2382.21,8.70555555556,5.68546539379,CANADIAN WHISKIES,448,260,78404.34,2467.27,224243.4,7875.98,78404.34,2467.27
672,4773,WEST DES MOINES,16.9026568128,45269.54,24.3646609257,50265,Polk,6961.0,3.74650161464,3150.99,1.69590419806,2015-01-08,2016-03-24,2007.12,8235.46,154.393846154,98.0411904762,351.52,3.61769230769,4.18476190476,117.0,537.4,9.0,6.39761904762,VODKA 80 PROOF,441,260,3887338.04,167286.94,56674297.4,1759117.6,9847759.32,290692.9
673,4774,ESTHERVILLE,16.1454035088,43335.37,114.040447368,51334,Emmet,1334.98,3.51310526316,3686.55,9.70144736842,2015-01-06,2016-03-29,3104.76,6599.16,172.486666667,76.7344186047,373.7,4.22555555556,4.34534883721,198.25,455.28,11.0138888889,5.29395348837,VODKA 80 PROOF,448,260,552434.85,29963.83,552434.85,29963.83,552434.85,29963.83
674,4779,MOUNT AYR,17.8232999419,12468.72,152.057560976,50854,Ringgold,356.62,4.34902439024,759.69,9.26451219512,2015-01-06,2016-03-22,11515.2,2698.28,162.185915493,36.4632432432,268.52,3.89042253521,3.62864864865,905.7,158.75,12.7563380282,2.14527027027,VODKA 80 PROOF,441,260,93010.93,5014.84,93010.93,5014.84,93010.93,5014.84
675,4785,AVOCA,15.4705562457,49322.26,142.963072464,51521,Pottawattamie,1312.28,3.80371014493,3732.6,10.8191304348,2015-01-06,2016-03-29,2972.18,26301.77,48.7242622951,41.096515625,2370.06,4.02983606557,3.70321875,175.43,1766.79,2.87590163934,2.760609375,VODKA 80 PROOF,448,260,378166.75,19518.72,8706224.87,304204.12,378166.75,19518.72
676,4788,CEDAR RAPIDS,15.0727237377,26864.05,134.995226131,52405,Linn,995.31,5.00155778894,1965.2,9.87537688442,2015-01-06,2016-03-22,3428.3,8527.39,50.4161764706,106.592375,488.11,3.70676470588,6.101375,189.75,522.0,2.79044117647,6.525,VODKA 80 PROOF,441,260,1978568.15,102334.25,20374018.21,739839.77,17588744.39,615993.64
677,4789,BUSSEY,10.4573,15705.3,125.6424,50044,Marion,309.89,2.47912,1723.4,13.7872,2015-01-07,2016-03-30,97379.57,5065.83,58.0331168057,85.8615254237,219.54,4.75291418355,3.72101694915,5493.98,460.71,3.27412395709,7.8086440678,VODKA 80 PROOF,448,297,15705.3,309.89,1944338.73,99639.37,15705.3,309.89
678,4794,BURLINGTON,20.742007345,398803.0,63.1517022961,52601,Des Moines,29891.76,4.73345368171,22378.28,3.54367062549,2015-01-05,2016-03-28,10331.16,16083.42,154.19641791,72.1229596413,1218.29,4.79641791045,5.4631838565,712.5,1204.12,10.6343283582,5.39964125561,VODKA 80 PROOF,448,260,2680170.91,110317.23,3635473.79,146763.34,2902365.01,114999.52
679,4795,DES MOINES,15.2479918546,87804.23,154.042508772,50317,Polk,2880.93,5.05426315789,6395.55,11.2202631579,2015-01-08,2016-03-31,13311.72,74100.82,124.408598131,134.484246824,2136.57,4.65018691589,3.87762250454,1062.0,4998.68,9.92523364486,9.07201451906,VODKA 80 PROOF,448,260,3329069.73,146267.72,56674297.4,1759117.6,31942201.98,805300.56
680,4798,DES MOINES,16.2456744371,40840.98,170.882761506,50320,Polk,1214.88,5.08317991632,2676.0,11.1966527197,2015-01-08,2016-03-31,23661.54,9183.57,163.183034483,34.5246992481,1085.58,4.82827586207,4.08112781955,1702.5,855.61,11.7413793103,3.21657894737,VODKA 80 PROOF,448,260,10426637.97,145539.26,56674297.4,1759117.6,31942201.98,805300.56
681,4800,DES MOINES,14.6966699061,39079.28,132.922721088,50320,Polk,1402.78,4.77136054422,3147.0,10.7040816327,2015-01-05,2016-03-21,39457.28,7909.63,68.2651903114,96.458902439,336.1,3.76683391003,4.0987804878,2590.22,544.25,4.48134948097,6.63719512195,VODKA 80 PROOF,441,434,10426637.97,145539.26,56674297.4,1759117.6,31942201.98,805300.56
682,4801,DES MOINES,14.7153334667,101274.6,141.841176471,50311,Polk,3321.76,4.65232492997,7526.0,10.5406162465,2015-01-08,2016-03-31,20997.59,6909.12,166.647539683,127.946666667,233.93,6.29928571429,4.33203703704,1072.35,479.25,8.51071428571,8.875,VODKA 80 PROOF,448,434,5653168.26,134998.27,56674297.4,1759117.6,31942201.98,805300.56
683,4802,DES MOINES,15.5014239887,183445.5,160.494750656,50310,Polk,5810.35,5.0834208224,13792.25,12.0667104112,2015-01-08,2016-03-31,39011.58,21026.45,119.30146789,50.6661445783,1645.44,4.97376146789,3.96491566265,3328.5,1265.05,10.1788990826,3.04831325301,VODKA 80 PROOF,448,260,1332687.68,47701.63,56674297.4,1759117.6,31942201.98,805300.56
684,4803,DES MOINES,16.0367416935,100328.52,161.299871383,50313,Polk,3018.38,4.85270096463,6967.5,11.2017684887,2015-01-08,2016-03-31,14189.47,5740.87,120.249745763,124.801521739,166.0,3.57389830508,3.60869565217,1004.66,415.55,8.51406779661,9.03369565217,VODKA 80 PROOF,448,434,418288.79,14669.42,56674297.4,1759117.6,31942201.98,805300.56
685,4804,DES MOINES,15.1555337803,84093.18,151.792743682,50312,Polk,2701.92,4.87711191336,6385.5,11.5261732852,2015-01-08,2016-03-31,17926.11,45987.42,82.99125,98.8976774194,2349.41,4.08273148148,5.05249462366,1190.45,3547.4,5.51134259259,7.6288172043,VODKA 80 PROOF,448,260,884836.76,45295.82,56674297.4,1759117.6,31942201.98,805300.56
686,4805,FORT DODGE,18.5260951448,150182.97,84.0419529938,50501,Webster,6245.69,3.49506994964,10187.09,5.70066592054,2015-01-06,2016-03-29,1931.98,26526.4,87.8172727273,24.6757209302,3621.26,3.62818181818,3.36861395349,116.1,1676.04,5.27727272727,1.55910697674,VODKA 80 PROOF,448,260,3387512.63,108707.05,2995026.97,102943.32,3387512.63,108707.05
687,4806,WEST LIBERTY,20.2909104046,109299.17,157.946777457,52776,Muscatine,4068.38,5.87916184971,5872.85,8.48677745665,2015-01-05,2016-03-28,54305.92,10605.96,158.789239766,77.4157664234,429.25,5.00400584795,3.13321167883,3197.62,859.95,9.34976608187,6.27700729927,VODKA 80 PROOF,448,260,181887.2,11296.77,2823123.61,131209.06,181887.2,11296.77
688,4807,WILLIAMSBURG,14.2178673179,189767.23,124.76477975,52361,Iowa,7622.7,5.01163708087,16158.0,10.6232741617,2015-01-08,2016-03-31,4903.06,39827.37,75.4316923077,88.7023830735,2145.48,3.74892307692,4.7783518931,405.13,1959.53,6.23276923077,4.36420935412,CANADIAN WHISKIES,448,434,231906.5,10104.04,984246.37,47355.98,231906.5,10104.04
689,4810,ANKENY,17.6605331048,74647.58,86.698699187,50021,Polk,3590.85,4.17055749129,4986.38,5.79138211382,2015-01-06,2016-03-29,26349.6,50083.05,127.910679612,130.085844156,1520.41,4.42169902913,3.94911688312,1948.87,2856.45,9.46053398058,7.41935064935,VODKA 80 PROOF,448,260,2566641.13,89629.52,56674297.4,1759117.6,4205336.85,188730.15
