,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
256,3656,ANKENY,18.3520062708,210999.92,173.662485597,50021,Polk,7466.38,6.14516872428,12157.15,10.0058847737,2015-01-06,2016-03-29
257,3660,KNOXVILLE,13.9608693556,124078.32,139.570663667,50138,Marion,4595.72,5.16953880765,9457.5,10.6383577053,2015-01-07,2016-03-30
258,3663,WATERLOO,13.7016931486,344617.89,175.021782631,50702,Black Hawk,9541.58,4.84590147283,28306.25,14.37595226,2015-01-05,2016-03-28
259,3664,NORTHWOOD,15.740703856,104244.83,65.2345619524,50459,Worth,7739.68,4.84335419274,8511.5,5.32634543179,2015-01-08,2016-03-31
260,3666,CEDAR RAPIDS,17.7312172183,294907.84,172.966475073,52404,Linn,10155.38,5.95623460411,18310.5,10.7392961877,2015-01-06,2016-03-29
261,3670,CORALVILLE,14.1716087879,548541.6,154.693062606,52241,Johnson,17790.81,5.01714890017,41162.5,11.6081500282,2015-01-08,2016-03-31
262,3676,GREENE,16.2678423648,36180.35,40.6520786517,50636,Butler,4171.58,4.68716853933,3156.06,3.54613483146,2015-01-06,2016-03-29
264,3678,DES MOINES,22.2858406602,152438.96,108.729643367,50320,Polk,8489.5,6.05527817404,9308.29,6.63929386591,2015-01-08,2016-03-24
265,3679,MONONA,15.6827253875,124635.74,51.6946246371,52159,Clayton,14920.07,6.18833264206,8817.61,3.65724180838,2015-01-05,2016-03-28
267,3688,FREDERICKSBURG,12.05709016,36752.04,73.9477665996,50630,Chickasaw,2117.12,4.25979879276,3779.25,7.60412474849,2015-01-06,2016-03-22
268,3690,WATERLOO,18.3615146094,145884.46,130.486994633,50702,Black Hawk,6479.56,5.79567084079,8394.8,7.50876565295,2015-01-05,2016-03-21
269,3691,URBANDALE,18.2896717227,305758.57,228.86120509,50322,Polk,8179.76,6.1225748503,17665.2,13.2224550898,2015-01-06,2016-03-28
