,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
808,4642,WATERLOO,18.6760418808,28721.82,103.315899281,50701,Black Hawk,1192.29,4.28881294964,1958.7,7.04568345324,2015-01-06,2016-03-29
811,4645,ELDRIDGE,14.8878568786,5402.55,46.9786956522,52748,Scott,389.78,3.38939130435,441.45,3.83869565217,2015-01-05,2016-03-21
814,4650,SWEA CITY,12.2703670635,11394.96,118.6975,50590,Kossuth,457.92,4.77,1001.15,10.4286458333,2015-01-06,2016-03-29
817,4653,JEFFERSON,16.3881632653,5080.99,90.7319642857,50129,Greene,203.03,3.62553571429,409.5,7.3125,2015-01-07,2016-03-30
821,4657,WELLSBURG,12.3034095238,5928.18,118.5636,50680,Grundy,190.93,3.8186,617.55,12.351,2015-01-06,2016-03-29
822,4658,IOWA FALLS,17.7915728716,5079.06,153.910909091,50126,Hardin,128.6,3.89696969697,366.6,11.1090909091,2015-01-08,2016-03-24
824,4660,CEDAR RAPIDS,23.0431743003,17794.43,135.835343511,52403,Linn,514.93,3.93076335878,841.33,6.42236641221,2015-01-05,2016-03-28
825,4661,GRIMES,20.0860191911,8012.52,47.6935714286,50111,Polk,525.77,3.12958333333,534.96,3.18428571429,2015-01-07,2016-03-30
826,4662,CEDAR RAPIDS,16.8358114278,12783.51,54.1674152542,52405,Linn,880.36,3.73033898305,1084.31,4.59453389831,2015-01-08,2016-03-31
827,4663,PEOSTA,15.8007008086,6402.0,120.79245283,52068,Dubuque,176.47,3.32962264151,460.1,8.68113207547,2015-01-07,2016-03-30
828,4664,BOONE,13.9696918768,6445.92,189.585882353,50036,Boone,116.64,3.43058823529,525.6,15.4588235294,2015-01-07,2016-03-30
829,4665,ANKENY,13.5821930974,13004.58,119.308073394,50021,Polk,496.95,4.55917431193,1012.5,9.28899082569,2015-01-05,2016-03-31
831,4668,CLEAR LAKE,14.3408245674,32546.73,77.3081472684,50428,Cerro Gordo,1872.06,4.44669833729,2956.5,7.02256532067,2015-01-08,2016-03-31
832,4669,DES MOINES,90.1882988268,35909.49,173.475797101,50312,Polk,2394.18,11.5660869565,361.65,1.74710144928,2015-01-08,2016-03-28
833,4670,TRIPOLI,14.6460598849,35022.75,61.9871681416,50676,Bremer,2666.94,4.72024778761,2947.61,5.21700884956,2015-01-05,2016-03-28
835,4674,AMES,17.2243912262,14396.26,76.1706878307,50010,Story,724.39,3.83275132275,1023.02,5.4128042328,2015-01-06,2016-03-29
839,4678,ADEL,14.4718771193,45582.13,141.121145511,50003,Dallas,1448.52,4.48458204334,3858.77,11.9466563467,2015-01-08,2016-03-31
840,4679,CEDAR RAPIDS,18.2821164021,10080.78,186.681111111,52402,Linn,250.09,4.6312962963,637.5,11.8055555556,2015-01-08,2016-03-31
841,4684,INDIANOLA,13.5827940016,21374.54,118.091381215,50125,Warren,643.49,3.55519337017,1862.5,10.2900552486,2015-01-05,2016-03-31
842,4685,Dubuque,24.0193650794,7314.63,116.105238095,52001,Dubuque,269.94,4.28476190476,426.3,6.76666666667,2015-01-05,2016-03-28
844,4687,CEDAR RAPIDS,16.0594300712,10812.53,85.1380314961,52402,Linn,474.05,3.73267716535,833.45,6.5625984252,2015-01-05,2016-03-21
845,4688,CARROLL,15.4213108614,12887.7,144.805617978,51401,Carroll,401.07,4.50640449438,966.6,10.8606741573,2015-01-05,2016-03-28
849,4694,DAVENPORT,18.4341201481,21930.74,92.1459663866,52806,Scott,889.93,3.73920168067,1375.13,5.77785714286,2015-01-06,2016-03-29
851,4696,WEST DES MOINES,18.4354677429,12969.85,41.1741269841,50266,Polk,909.39,2.88695238095,865.21,2.7466984127,2015-01-07,2016-03-30
852,4697,IOWA CITY,22.9359127058,79719.55,251.481230284,52240,Johnson,1310.48,4.13400630915,3651.8,11.519873817,2015-01-06,2016-03-29
853,4698,FAIRFIELD,19.1361644535,13020.8,105.006451613,52556,Jefferson,578.71,4.66701612903,937.75,7.5625,2015-01-07,2016-03-30
855,4700,ALLISON,13.2311602098,8442.41,71.5458474576,50602,Butler,504.53,4.2756779661,801.57,6.79296610169,2015-01-05,2016-03-28
859,4704,COUNCIL BLUFFS,15.0452818889,19076.78,100.404105263,51501,Pottawattamie,671.97,3.53668421053,1621.33,8.53331578947,2015-01-06,2016-03-29
860,4705,CORALVILLE,16.6871031746,12388.74,147.485,52241,Johnson,412.48,4.91047619048,826.8,9.84285714286,2015-01-08,2016-03-31
861,4706,CLINTON,15.0038095238,2920.02,153.685263158,52732,Clinton,93.14,4.90210526316,202.5,10.6578947368,2015-01-07,2016-03-30
862,4707,CLINTON,14.6275238095,2983.56,149.178,52732,Clinton,108.05,5.4025,228.0,11.4,2015-01-05,2016-03-28
863,4708,GLENWOOD,12.4102317741,28369.98,125.530884956,51534,Mills,1066.84,4.72053097345,2500.5,11.064159292,2015-01-08,2016-03-31
865,4710,DUBUQUE,16.1471042471,8282.5,111.925675676,52002,Dubuque,370.58,5.00783783784,620.0,8.37837837838,2015-01-05,2016-03-28
866,4711,DUBUQUE,14.5840778001,10061.1,141.705633803,52002,Dubuque,345.89,4.87169014085,755.4,10.6394366197,2015-01-08,2016-03-31
867,4712,DUBUQUE,17.8243845829,14179.68,67.5222857143,52001,Dubuque,992.16,4.72457142857,1053.97,5.0189047619,2015-01-08,2016-03-31
868,4713,CORALVILLE,18.102244898,12486.18,148.645,52241,Johnson,420.29,5.00345238095,758.25,9.02678571429,2015-01-08,2016-03-31
870,4715,WEST DES MOINES,15.285003663,8882.21,136.649384615,50265,Polk,292.77,4.50415384615,650.1,10.0015384615,2015-01-06,2016-03-29
872,4717,BETTENDORF,14.2553410553,3394.47,91.7424324324,52722,Scott,194.0,5.24324324324,262.5,7.09459459459,2015-01-08,2016-03-31
