,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
0,2106,CEDAR FALLS,19.3761775106,337166.53,278.190206271,50613,Black Hawk,6658.5,5.49381188119,21815.55,17.9996287129,2015-01-08,2016-03-31
1,2113,GOWRIE,17.7679086709,22351.86,66.7219701493,50543,Webster,1783.73,5.32456716418,1604.08,4.78829850746,2015-01-07,2016-03-30
2,2130,WATERLOO,17.6112508961,277764.46,298.671462366,50703,Black Hawk,4842.77,5.20727956989,16176.37,17.3939462366,2015-01-08,2016-03-31
4,2178,WAUKON,16.0456716066,54411.42,100.948831169,52172,Allamakee,2593.6,4.81187384045,4376.38,8.11944341373,2015-01-07,2016-03-30
5,2190,DES MOINES,22.8221889964,255392.25,83.2167644184,50314,Polk,16933.9,5.51772564353,14053.73,4.57925382861,2015-01-05,2016-03-31
6,2191,KEOKUK,18.6456516624,318985.32,224.321603376,52632,Lee,8148.14,5.73005625879,20393.07,14.3411181435,2015-01-05,2016-03-28
7,2200,SAC CITY,16.8779107429,45340.33,57.5384898477,50583,Sac,4521.79,5.73831218274,3393.35,4.30628172589,2015-01-07,2016-03-30
9,2228,WINTERSET,17.1771464599,51031.04,70.8764444444,50273,Madison,3597.56,4.99661111111,4213.4,5.85194444444,2015-01-06,2016-03-29
10,2233,SPIRIT LAKE,19.4302312984,68657.91,118.785311419,51360,Dickinson,3450.91,5.97043252595,5115.11,8.84967128028,2015-01-06,2016-03-29
12,2248,DES MOINES,26.1788804385,121837.56,127.445146444,50312,Polk,6520.6,6.82071129707,5604.59,5.862541841,2015-01-08,2016-03-31
13,2285,IOWA CITY,25.1393577009,146513.09,228.926703125,52240,Johnson,4347.51,6.792984375,6814.17,10.647140625,2015-01-07,2016-03-30
14,2290,STORM LAKE,18.6829494012,118934.06,72.3883505782,50588,Buena Vista,8817.59,5.36676202069,8108.52,4.93519172246,2015-01-07,2016-03-30
15,2327,CORNING,17.4887363661,20335.03,56.8017597765,50841,Adams,1713.72,4.7869273743,1539.72,4.30089385475,2015-01-06,2016-03-29
18,2413,DUBUQUE,16.9515623733,204237.78,193.224011353,52001,Dubuque,5616.45,5.31357615894,13412.92,12.6896121097,2015-01-07,2016-03-29
19,2445,OAKLAND,14.2747195553,16939.15,43.4337179487,51560,Pottawattamie,1816.57,4.65787179487,1506.74,3.86343589744,2015-01-06,2016-03-29
20,2448,INDIANOLA,16.9753226492,55498.12,49.6405366726,50125,Warren,5643.51,5.04786225403,3733.6,3.33953488372,2015-01-05,2016-03-28
