,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
675,4428,AMES,16.4879827307,66703.37,112.865262267,50014,Story,2659.75,4.50042301184,4689.14,7.93424703892,2015-01-14,2016-03-23
677,4430,FORT DODGE,16.2633508597,31864.64,111.414825175,50501,Webster,1052.75,3.68094405594,2525.13,8.82912587413,2015-01-13,2016-03-22
685,4438,AMES,17.2620322539,43390.59,53.5025770654,50010,Story,2970.26,3.66246609125,3285.53,4.05120838471,2015-01-14,2016-03-30
687,4440,COUNCIL BLUFFS,15.8958027813,24465.63,108.255,51503,Pottawattamie,829.57,3.67066371681,1720.5,7.61283185841,2015-01-13,2016-03-22
689,4444,SLOAN,17.4831616833,84256.11,97.9722209302,51055,Woodbury,3402.38,3.95625581395,5552.96,6.45693023256,2015-01-14,2016-03-30
694,4449,URBANDALE,17.0739019804,40245.54,87.3005206074,50322,Polk,2138.09,4.63793926247,2681.41,5.81650759219,2015-01-13,2016-03-28
697,4452,SIOUX CITY,19.3199958864,104070.65,86.942898914,51105,Woodbury,4615.15,3.85559732665,7003.66,5.85101086048,2015-01-13,2016-03-30
700,4455,ELDORA,17.0277213706,23866.02,79.5534,50627,Hardin,1242.6,4.142,1826.38,6.08793333333,2015-01-12,2016-03-21
704,4459,EAGLE GROVE,16.2367553499,53938.06,109.186356275,50533,Wright,1971.0,3.98987854251,4284.04,8.67214574899,2015-01-13,2016-03-29
709,4466,FAYETTE,14.6325884288,91532.58,175.686333973,52142,Fayette,2398.19,4.60305182342,7222.65,13.8630518234,2015-01-13,2016-03-30
711,4468,MUSCATINE,17.9382434144,18860.11,47.8682994924,52761,Muscatine,1407.0,3.57106598985,1260.3,3.19873096447,2015-01-12,2016-03-28
716,4474,COUNCIL BLUFFS,19.511862899,71219.15,111.80400314,51501,Pottawattamie,2277.73,3.57571428571,4229.6,6.6398744113,2015-01-13,2016-03-29
718,4476,COUNCIL BLUFFS,18.7644280006,39048.26,93.4168899522,51501,Pottawattamie,1401.68,3.35330143541,2584.55,6.18313397129,2015-01-16,2016-03-28
719,4477,COUNCIL BLUFFS,19.5994128956,24341.4,75.5944099379,51503,Pottawattamie,1118.99,3.4751242236,1528.15,4.74580745342,2015-01-20,2016-03-29
721,4480,CLINTON,19.3829871414,40101.35,118.995103858,52732,Clinton,1488.13,4.41581602374,2184.7,6.48278931751,2015-01-22,2016-03-24
722,4481,IOWA CITY,19.0017387553,412082.41,155.326954391,52240,Johnson,13486.01,5.08330569167,31053.36,11.7049981153,2015-01-14,2016-03-30
723,4482,INDIANOLA,15.9163799746,83931.25,102.731028152,50125,Warren,3573.29,4.37367197062,6375.77,7.80388004896,2015-01-12,2016-03-28
728,4489,CEDAR RAPIDS,17.0881125356,30515.75,130.409188034,52405,Linn,847.84,3.62324786325,2239.2,9.56923076923,2015-02-03,2016-03-29
731,4492,CEDAR RAPIDS,17.3509921507,41844.56,113.708043478,52404,Linn,1475.28,4.00891304348,2905.68,7.89586956522,2015-01-13,2016-03-22
736,4498,WINTHROP,15.2977588813,21547.56,85.5061904762,50682,Buchanan,1163.05,4.61527777778,1663.85,6.60257936508,2015-01-12,2016-03-21
738,4500,NORTH LIBERTY,18.4381559087,28506.8,101.81,52317,Johnson,1157.76,4.13485714286,1993.69,7.12032142857,2015-01-22,2016-03-31
739,4501,FAIRFIELD,17.7071928522,38841.07,80.5831327801,52556,Jefferson,1693.2,3.51286307054,3128.65,6.49097510373,2015-01-26,2016-03-28
743,4505,JOHNSTON,18.423281213,29038.69,144.471094527,50131,Polk,964.58,4.79890547264,1699.5,8.4552238806,2015-01-15,2016-03-24
744,4506,TIFFIN,16.6943059446,35091.05,114.676633987,52340,Johnson,1146.7,3.74738562092,2585.4,8.44901960784,2015-01-15,2016-03-31
745,4507,SPENCER,14.0496145589,19633.48,160.930163934,51301,Clay,413.59,3.39008196721,1769.4,14.5032786885,2015-02-03,2016-03-29
753,4515,DOWS,13.5230217322,23038.8,154.622818792,50071,Wright,567.96,3.81181208054,1952.7,13.1053691275,2015-01-13,2016-03-29
761,4523,EXIRA,14.5881760609,38984.78,154.090039526,50076,Audubon,980.37,3.87498023715,3003.75,11.8725296443,2015-01-16,2016-03-28
764,4527,GILMORE CITY,14.4245238095,21252.55,128.027409639,50541,Humboldt,567.5,3.4186746988,1907.75,11.4924698795,2015-01-13,2016-03-29
768,4531,AFTON,16.6523507713,28314.26,199.396197183,50830,Union,604.15,4.25457746479,2267.1,15.9654929577,2015-01-20,2016-03-22
770,4533,ST ANSGAR,14.3488510204,30069.37,171.824971429,50472,Mitchell,643.06,3.67462857143,3084.59,17.6262285714,2015-01-20,2016-03-29
772,4536,DUBUQUE,15.6216612985,30186.23,80.0695755968,52003,Dubuque,1362.77,3.61477453581,2491.43,6.60856763926,2015-01-21,2016-03-29
773,4537,LEON,15.3379751553,31164.34,135.497130435,50144,Decatur,946.11,4.11352173913,2264.55,9.84586956522,2015-01-15,2016-03-24
775,4539,SCRANTON,16.5824740604,18748.01,89.2762380952,51462,Greene,762.76,3.63219047619,1382.99,6.58566666667,2015-01-22,2016-03-24
778,4542,LAURENS,13.9992673993,19156.6,133.962237762,50554,Pocahontas,490.92,3.43300699301,1560.6,10.9132867133,2015-02-03,2016-03-22
780,4544,OSCEOLA,15.5105894106,19596.74,137.04013986,50213,Clarke,476.19,3.33,1554.2,10.8685314685,2015-01-15,2016-03-31
