,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
1081,4889,DES MOINES,19.6456235085,22546.18,38.8058175559,50315,Polk,2113.18,3.63714285714,1525.76,2.6260929432,2015-01-08,2015-04-09
1106,4920,JOHNSTON,19.6716099122,23837.01,57.0263397129,50131,Polk,1902.34,4.55105263158,1519.44,3.63502392344,2015-01-06,2015-08-04
1121,4939,URBANDALE,21.6608510638,1120.7,26.0627906977,50322,Polk,199.54,4.64046511628,70.8,1.64651162791,2015-01-08,2015-01-08
1134,4954,URBANDALE,16.263125,8496.51,177.010625,50322,Polk,178.52,3.71916666667,543.3,11.31875,2015-02-24,2015-07-28
1163,4990,GRISWOLD,14.4060973085,2884.66,62.71,51535,Cass,202.24,4.39652173913,255.55,5.55543478261,2015-01-06,2015-03-10
1179,5008,EMMETSBURG,14.2979852217,17996.76,62.0577931034,50536,Palo Alto,1389.57,4.79162068966,1673.0,5.76896551724,2015-01-06,2015-03-17
1195,5026,NORTH ENGLISH,13.1653421927,16584.46,47.5199426934,52316,Iowa,1299.62,3.72383954155,1856.41,5.31922636103,2015-01-05,2015-05-11
1199,5030,WATERLOO,17.2307766545,6243.91,90.4914492754,50701,Black Hawk,290.09,4.20420289855,423.8,6.14202898551,2015-01-08,2015-01-29
1201,5032,DES MOINES,18.0402858842,10338.9,87.6177966102,50314,Polk,339.19,2.87449152542,692.18,5.86593220339,2015-01-08,2015-07-13
1202,5033,WATERLOO,17.3199381894,6303.74,103.34,50702,Black Hawk,223.16,3.65836065574,407.41,6.67885245902,2015-01-06,2015-03-24
1205,5036,CEDAR RAPIDS,28.4858241758,78866.86,183.838834499,52402,Linn,2112.09,4.92328671329,2956.2,6.89090909091,2015-01-06,2015-05-19
1207,5038,WATERLOO,19.9019706705,56060.42,51.2435283364,50701,Black Hawk,3141.29,2.87138025594,3028.38,2.76817184644,2015-01-08,2015-07-30
1221,5053,IOWA CITY,49.7319047619,3641.89,86.7116666667,52245,Johnson,512.93,12.2126190476,92.8,2.20952380952,2015-02-11,2015-09-09
1224,5056,COUNCIL BLUFFS,20.7772281746,973.58,16.2263333333,51501,Pottawattamie,154.11,2.5685,48.83,0.813833333333,2015-07-06,2015-07-06
1252,5084,CEDAR RAPIDS,18.8368927369,7138.75,72.1085858586,52402,Linn,336.75,3.40151515152,425.6,4.29898989899,2015-02-17,2015-06-23
1253,5085,HUDSON,18.634371562,12940.31,63.1234634146,50643,Black Hawk,1103.51,5.38297560976,901.88,4.39941463415,2015-01-06,2015-02-24
1261,5093,LE CLAIRE,19.7536943303,99586.06,50.9913261649,52753,Scott,9413.16,4.81984639017,6590.22,3.37440860215,2015-01-22,2015-12-23
1301,5136,DES MOINES,27.5201104826,5846.21,26.8174770642,50322,Polk,1396.72,6.40697247706,287.79,1.32013761468,2015-05-04,2015-06-04
1304,5139,WATERLOO,29.6786948854,13489.26,249.801111111,50703,Black Hawk,216.83,4.01537037037,449.6,8.32592592593,2015-05-07,2015-11-05
1324,5161,COUNCIL BLUFFS,20.0707539044,3711.58,32.845840708,51501,Pottawattamie,221.35,1.95884955752,183.83,1.62681415929,2015-06-22,2015-10-05
1331,5168,CEDAR RAPIDS,23.4966861596,64033.41,107.619176471,52402,Linn,2462.05,4.13789915966,2752.45,4.62596638655,2015-07-21,2015-12-08
1372,9018,Dubuque,32.3333333333,21825.0,7275.0,52001,Dubuque,24.25,8.08333333333,675.0,225.0,2015-10-27,2015-10-27
